id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
2182884,6,985,378,1H,1380.45318,Duel,Ground defending duel,neutral,85,21,96.0,7.0,t
2182890,6,985,282,1H,1394.477779,Pass,Simple pass,,81,4,72.0,6.0,t
2182895,59,985,257,1H,1406.346569,Pass,Head pass,,21,24,29.0,21.0,t
2182901,59,985,257,1H,1412.607813,Duel,Ground attacking duel,won,7,9,8.0,9.0,t
2182907,59,985,311,1H,1453.027592,Duel,Ground loose ball duel,won,69,46,71.0,47.0,t
2182916,6,985,282,1H,1486.514577,Duel,Ground attacking duel,won,66,3,70.0,2.0,t
2182923,6,985,359,1H,1515.430697,Duel,Ground attacking duel,neutral,72,94,85.0,100.0,t
2182929,6,985,287,1H,1536.382468,Pass,Simple pass,,98,94,96.0,72.0,t
2182939,6,985,1673,1H,1599.163739,Free Kick,Free Kick,,45,68,42.0,41.0,t
2182944,6,985,2162,1H,1613.403287,Duel,Ground attacking duel,won,95,10,97.0,11.0,t
2182958,59,985,403,1H,1669.660915,Pass,Simple pass,,29,53,28.0,76.0,t
2182962,59,985,403,1H,1682.04725,Pass,Simple pass,,26,59,27.0,89.0,t
2182969,6,985,359,1H,1703.366089,Free Kick,Throw in,,81,100,83.0,85.0,t
2182977,59,985,1314,1H,1708.196765,Pass,Simple pass,,30,17,32.0,35.0,t
2182984,59,985,257,1H,1733.041997,Pass,Simple pass,,30,26,32.0,49.0,t
2182989,6,985,287,1H,1749.189443,Pass,Simple pass,,63,71,63.0,50.0,t
2182996,6,985,2162,1H,1790.562871,Free Kick,Corner,,100,0,84.0,14.0,t
2183002,59,985,1460,1H,1800.879282,Pass,High pass,,4,91,68.0,98.0,t
2183009,59,985,257,1H,1837.991835,Pass,Simple pass,,42,65,55.0,49.0,t
2183013,59,985,257,1H,1843.782045,Pass,Simple pass,,40,49,55.0,30.0,t
2183018,59,985,403,1H,1866.227901,Duel,Ground defending duel,neutral,35,64,37.0,64.0,t
2183023,59,985,71,1H,1870.772577,Duel,Ground defending duel,won,26,85,19.0,82.0,t
2183035,6,985,3234,1H,1965.29699,Duel,Ground attacking duel,won,39,36,38.0,32.0,t
2183040,6,985,1242,1H,1980.383685,Duel,Ground attacking duel,won,83,94,85.0,94.0,t
2183049,6,985,442,1H,2036.614976,Pass,Simple pass,,73,9,68.0,38.0,t
2183059,59,985,403,1H,2081.473568,Duel,Ground defending duel,won,55,54,67.0,37.0,t
2183065,59,985,1314,1H,2150.752997,Pass,Cross,high,68,93,86.0,41.0,t
2183072,59,985,2065,1H,2177.995461,Free Kick,Throw in,,36,0,28.0,13.0,t
2183076,59,985,216,1H,2188.32942,Pass,Simple pass,,25,80,42.0,96.0,t
2183083,59,985,1460,1H,2204.131429,Free Kick,Free Kick,,28,35,38.0,37.0,t
2183087,59,985,257,1H,2211.010746,Pass,Simple pass,,21,13,6.0,42.0,t
2183096,6,985,287,1H,2267.317145,Duel,Air duel,won,51,28,57.0,29.0,t
2183102,59,985,71,1H,2284.499966,Free Kick,Throw in,,68,100,63.0,91.0,t
2183106,59,985,257,1H,2298.258634,Pass,Simple pass,,55,23,59.0,33.0,t
2183113,59,985,71,1H,2315.502013,Free Kick,Throw in,,78,100,70.0,96.0,t
2183120,59,985,216,1H,2327.145653,Duel,Ground defending duel,won,7,76,10.0,59.0,t
2183126,6,985,359,1H,2342.733911,Pass,Head pass,,69,98,69.0,86.0,t
2183132,59,985,216,1H,2352.563684,Duel,Ground attacking duel,won,14,67,14.0,63.0,t
2183140,59,985,1739,1H,2393.871991,Pass,Launch,,14,53,68.0,63.0,t
2183147,6,985,2162,1H,2408.639105,Pass,Simple pass,,35,8,21.0,21.0,t
2183151,6,985,1242,1H,2420.865628,Duel,Ground attacking duel,won,84,86,97.0,80.0,t
2183160,59,985,1739,1H,2476.408018,Pass,Launch,,9,32,66.0,16.0,t
2183166,6,985,2162,1H,2499.633027,Pass,Simple pass,,33,2,38.0,3.0,t
2183171,59,985,2065,1H,2511.331477,Pass,Head pass,,30,18,36.0,9.0,t
2183178,6,985,282,1H,2542.13964,Duel,Ground attacking duel,won,58,27,67.0,28.0,t
2183186,59,985,2065,1H,2573.426521,Pass,Simple pass,,56,14,28.0,19.0,t
2183191,6,985,1673,1H,2591.501,Pass,Simple pass,interception,45,93,52.0,78.0,t
2183196,6,985,1673,1H,2603.44127,Duel,Air duel,won,6,64,6.0,62.0,t
2183205,59,985,311,1H,2669.077237,Duel,Air duel,won,74,39,79.0,46.0,t
2183215,6,985,282,2H,10.098758000000087,Duel,Air duel,neutral,60,32,58.0,31.0,t
2183221,6,985,1673,2H,24.69037600000001,Pass,Simple pass,,35,71,36.0,32.0,t
2183225,6,985,1839,2H,37.624435000000176,Pass,Simple pass,,56,53,53.0,98.0,t
2183230,59,985,2065,2H,46.54527000000007,Duel,Ground attacking duel,neutral,17,4,13.0,3.0,t
2183238,6,985,287,2H,69.65925100000004,Pass,Smart pass,through,82,81,91.0,65.0,t
2183244,59,985,2065,2H,75.852394,Duel,Ground attacking duel,neutral,18,15,10.0,4.0,t
2183254,6,985,282,2H,122.80863799999996,Pass,Head pass,interception,43,48,45.0,53.0,t
2183260,59,985,161,2H,132.086902,Pass,Cross,Right,91,90,92.0,50.0,t
2183270,6,985,282,2H,160.35136599999987,Duel,Ground attacking duel,won,62,5,65.0,2.0,t
2183278,59,985,389,2H,169.5918160000001,Duel,Ground attacking duel,won,27,27,26.0,28.0,t
2183285,6,985,1673,2H,211.49434800000017,Pass,Simple pass,,28,62,39.0,98.0,t
2183292,59,985,389,2H,224.66037000000009,Pass,Simple pass,,72,5,73.0,4.0,t
2183296,59,985,257,2H,233.22958299999985,Pass,Simple pass,,49,23,33.0,45.0,t
2183302,6,985,1673,2H,262.1376529999998,Free Kick,Free Kick,,38,89,39.0,45.0,t
2183310,6,985,442,2H,284.9039539999999,Duel,Ground defending duel,won,65,11,58.0,6.0,t
2183319,59,985,311,2H,311.0920900000001,Duel,Ground loose ball duel,won,66,67,63.0,65.0,t
2183326,59,985,161,2H,398.90465099999983,Duel,Ground attacking duel,neutral,92,67,0.0,0.0,t
2183339,59,985,1739,2H,483.16005499999983,Free Kick,Free Kick,,9,87,54.0,47.0,t
